id,persona,kpi,difficulty,synthetic_questions
2,Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),simple,What is the count of accounts that have received at least one comment before closure within 90 days?
2,Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),simple,How many loan accounts were closed within 90 days of opening?
2,Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),simple,What is the total number of card accounts closed within 90 days?
2,Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),simple,How many accounts with a tracking record were closed within 90 days?
2,Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),simple,What is the total number of account numbers with notes created before closure within 90 days?
2,Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),simple,How many unique members had their accounts closed within 90 days?
2,Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),simple,What is the percentage of accounts with at least one share transaction that were closed within 90 days?
3,Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,simple,What is the total outstanding balance of all credit card accounts?
3,Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,simple,How many accounts currently have a credit card product?
3,Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,simple,What percentage of total portfolio balance is made up of credit card balances?
3,Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,simple,What is the number of accounts with only credit card products and no other products?
3,Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,simple,How many credit cards have a balance greater than zero?
3,Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,simple,What is the average balance per credit card account?
3,Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,simple,How many accounts have more than one credit card product?
3,Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,simple,What is the portfolio mix percentage of accounts with credit card products versus all accounts?
3,Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,simple,Which credit card product type has the highest balance?
3,Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,simple,What is the total number of credit card products issued by the bank?
4,Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,simple,What is the total number of dormant accounts in PUBLIC.ACCOUNT?
4,Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,simple,What percentage of accounts in PUBLIC.ACCOUNT are currently inactive?
4,Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,simple,How many accounts in PUBLIC.ACCOUNT have had no related transactions in PUBLIC.TRACKING?
4,Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,simple,What is the count of accounts in PUBLIC.ACCOUNT with zero entries in PUBLIC.COMMENT?
4,Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,simple,How many accounts have no related loans in PUBLIC.LOAN?
4,Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,simple,How many accounts in PUBLIC.ACCOUNT do not have any associated cards in PUBLIC.CARD?
4,Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,simple,What is the total number of accounts with no associated notes in PUBLIC.NOTE?
4,Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,simple,How many accounts in PUBLIC.ACCOUNT do not have any shares in PUBLIC.SHARE?
4,Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,simple,What is the total number of accounts in PUBLIC.ACCOUNT with no lookup entries in PUBLIC.LOOKUP?
4,Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,simple,How many accounts in PUBLIC.ACCOUNT are linked to members in PUBLIC.MEMBER?
5,Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy),simple,What is the average number of years accounts have been open?
5,Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy),simple,How many active accounts are currently in the system?
5,Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy),simple,What is the total number of unique members?
5,Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy),simple,What is the highest account tenure in the member base?
5,Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy),simple,How many accounts have a tenure greater than 5 years?
5,Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy),simple,What is the average number of loans per account?
5,Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy),simple,What percentage of accounts have at least one card product?
5,Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy),simple,How many accounts have received at least one comment?
5,Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy),simple,What is the average number of shares per account?
5,Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy),simple,What is the minimum account tenure among all active accounts?
6,Member Analytics Lead; Product Manager,Active Account Tenure; Retention Duration,simple,What is the average tenure of active accounts in years?
6,Member Analytics Lead; Product Manager,Active Account Tenure; Retention Duration,simple,How many accounts have been active for more than one year?
6,Member Analytics Lead; Product Manager,Active Account Tenure; Retention Duration,simple,What is the total number of currently active accounts?
6,Member Analytics Lead; Product Manager,Active Account Tenure; Retention Duration,simple,What is the maximum tenure in years among all active accounts?
6,Member Analytics Lead; Product Manager,Active Account Tenure; Retention Duration,simple,How many accounts have been closed within the last year?
6,Member Analytics Lead; Product Manager,Active Account Tenure; Retention Duration,simple,What percentage of accounts have a tenure longer than five years?
6,Member Analytics Lead; Product Manager,Active Account Tenure; Retention Duration,simple,What is the count of accounts with active loans?
6,Member Analytics Lead; Product Manager,Active Account Tenure; Retention Duration,simple,How many active accounts have an associated credit card?
6,Member Analytics Lead; Product Manager,Active Account Tenure; Retention Duration,simple,What is the number of unique accounts with at least one comment added?
6,Member Analytics Lead; Product Manager,Active Account Tenure; Retention Duration,simple,What is the minimum tenure in years among all active accounts?
7,Product Manager; Risk Manager,Monthly Closure Rate; Product Attrition Rate,simple,What is the total number of closed accounts in the last month?
7,Product Manager; Risk Manager,Monthly Closure Rate; Product Attrition Rate,simple,How many accounts were marked as attrited this month?
7,Product Manager; Risk Manager,Monthly Closure Rate; Product Attrition Rate,simple,What is the percentage of accounts closed out of all active accounts?
7,Product Manager; Risk Manager,Monthly Closure Rate; Product Attrition Rate,simple,How many loans were closed in the previous month?
7,Product Manager; Risk Manager,Monthly Closure Rate; Product Attrition Rate,simple,What is the count of active card accounts currently?
7,Product Manager; Risk Manager,Monthly Closure Rate; Product Attrition Rate,simple,What is the total number of comments left on closed accounts?
7,Product Manager; Risk Manager,Monthly Closure Rate; Product Attrition Rate,simple,How many members are associated with closed accounts?
7,Product Manager; Risk Manager,Monthly Closure Rate; Product Attrition Rate,simple,What is the attrition rate for savings accounts this month?
7,Product Manager; Risk Manager,Monthly Closure Rate; Product Attrition Rate,simple,How many tracking records exist for closed accounts?
7,Product Manager; Risk Manager,Monthly Closure Rate; Product Attrition Rate,simple,What is the total number of notes attached to accounts closed in the last 30 days?
8,Member Analytics Lead; CRO,Long-Tenure Account %; Dormant vs Active Ratio,simple,What is the total number of active accounts in PUBLIC.ACCOUNT?
8,Member Analytics Lead; CRO,Long-Tenure Account %; Dormant vs Active Ratio,simple,What percentage of accounts in PUBLIC.ACCOUNT are classified as long-tenure accounts?
8,Member Analytics Lead; CRO,Long-Tenure Account %; Dormant vs Active Ratio,simple,How many accounts in PUBLIC.ACCOUNT are currently dormant?
8,Member Analytics Lead; CRO,Long-Tenure Account %; Dormant vs Active Ratio,simple,What is the ratio of dormant to active accounts in PUBLIC.ACCOUNT?
8,Member Analytics Lead; CRO,Long-Tenure Account %; Dormant vs Active Ratio,simple,How many accounts in PUBLIC.ACCOUNT have an associated record in PUBLIC.LOAN?
8,Member Analytics Lead; CRO,Long-Tenure Account %; Dormant vs Active Ratio,simple,What is the total count of accounts in PUBLIC.ACCOUNT with an associated record in PUBLIC.CARD?
8,Member Analytics Lead; CRO,Long-Tenure Account %; Dormant vs Active Ratio,simple,How many account records in PUBLIC.ACCOUNT have at least one comment in PUBLIC.COMMENT?
8,Member Analytics Lead; CRO,Long-Tenure Account %; Dormant vs Active Ratio,simple,How many unique ACCOUNT_NUMBER values exist in PUBLIC.ACCOUNT?
8,Member Analytics Lead; CRO,Long-Tenure Account %; Dormant vs Active Ratio,simple,What is the count of accounts in PUBLIC.ACCOUNT with no associated transactions in PUBLIC.TRACKING?
8,Member Analytics Lead; CRO,Long-Tenure Account %; Dormant vs Active Ratio,simple,How many accounts in PUBLIC.ACCOUNT have a note attached in PUBLIC.NOTE?
9,Executive Leadership; CRO,Product Mix %; Portfolio Allocation,simple,What percentage of accounts have at least one loan product?
9,Executive Leadership; CRO,Product Mix %; Portfolio Allocation,simple,How many accounts have only a single product type?
9,Executive Leadership; CRO,Product Mix %; Portfolio Allocation,simple,What is the total number of active credit card accounts?
9,Executive Leadership; CRO,Product Mix %; Portfolio Allocation,simple,What percentage of total portfolio value is held in loans?
9,Executive Leadership; CRO,Product Mix %; Portfolio Allocation,simple,How many accounts have both a loan and a card product?
9,Executive Leadership; CRO,Product Mix %; Portfolio Allocation,simple,What is the count of accounts with at least three different product types?
9,Executive Leadership; CRO,Product Mix %; Portfolio Allocation,simple,What percentage of accounts hold both savings and loan products?
9,Executive Leadership; CRO,Product Mix %; Portfolio Allocation,simple,What is the total portfolio value allocated to share products?
9,Executive Leadership; CRO,Product Mix %; Portfolio Allocation,simple,What proportion of members have only non-loan products?
9,Executive Leadership; CRO,Product Mix %; Portfolio Allocation,simple,How many accounts have no card products attached?
10,CEO; COO; Board; CRO,"Composite Health Score (Capital, Asset Quality, Earnings, Liquidity, Growth)",simple,What is the total capital amount across all accounts?
10,CEO; COO; Board; CRO,"Composite Health Score (Capital, Asset Quality, Earnings, Liquidity, Growth)",simple,How many accounts currently have outstanding loans?
10,CEO; COO; Board; CRO,"Composite Health Score (Capital, Asset Quality, Earnings, Liquidity, Growth)",simple,What is the percentage of delinquent loans among all loans?
10,CEO; COO; Board; CRO,"Composite Health Score (Capital, Asset Quality, Earnings, Liquidity, Growth)",simple,What is the total value of assets for all accounts?
10,CEO; COO; Board; CRO,"Composite Health Score (Capital, Asset Quality, Earnings, Liquidity, Growth)",simple,How many accounts have a negative balance?
10,CEO; COO; Board; CRO,"Composite Health Score (Capital, Asset Quality, Earnings, Liquidity, Growth)",simple,What is the sum of net income across all accounts?
10,CEO; COO; Board; CRO,"Composite Health Score (Capital, Asset Quality, Earnings, Liquidity, Growth)",simple,How many accounts have issued cards?
10,CEO; COO; Board; CRO,"Composite Health Score (Capital, Asset Quality, Earnings, Liquidity, Growth)",simple,How many accounts have a liquidity ratio below the required threshold?
10,CEO; COO; Board; CRO,"Composite Health Score (Capital, Asset Quality, Earnings, Liquidity, Growth)",simple,What is the total number of new accounts opened?
10,CEO; COO; Board; CRO,"Composite Health Score (Capital, Asset Quality, Earnings, Liquidity, Growth)",simple,How many accounts have been flagged for poor asset quality?
11,Risk Manager; Finance Manager,High-Balance Exposure; Concentration Risk,simple,What is the total number of accounts with balances exceeding $1 million?
11,Risk Manager; Finance Manager,High-Balance Exposure; Concentration Risk,simple,Which single account has the highest loan balance?
11,Risk Manager; Finance Manager,High-Balance Exposure; Concentration Risk,simple,"How many accounts have a share balance greater than $500,000?"
11,Risk Manager; Finance Manager,High-Balance Exposure; Concentration Risk,simple,What percentage of total loan exposure is represented by the top 10 accounts?
11,Risk Manager; Finance Manager,High-Balance Exposure; Concentration Risk,simple,How many accounts have both high loan and high share balances?
11,Risk Manager; Finance Manager,High-Balance Exposure; Concentration Risk,simple,"What is the count of accounts with a card balance above $100,000?"
11,Risk Manager; Finance Manager,High-Balance Exposure; Concentration Risk,simple,"Which account holds the largest combined balance across loans, shares, and cards?"
11,Risk Manager; Finance Manager,High-Balance Exposure; Concentration Risk,simple,What is the total exposure of the single largest account in the portfolio?
11,Risk Manager; Finance Manager,High-Balance Exposure; Concentration Risk,simple,How many accounts represent more than 5% of the total portfolio exposure individually?
11,Risk Manager; Finance Manager,High-Balance Exposure; Concentration Risk,simple,What is the highest single account balance in the SHARE table?
12,Fraud Analyst; Risk Manager,Transfer Limit Exposure; Operational Risk Indicator,simple,"What is the total number of accounts with a transfer limit above $10,000?"
12,Fraud Analyst; Risk Manager,Transfer Limit Exposure; Operational Risk Indicator,simple,Which account has the highest transfer limit?
12,Fraud Analyst; Risk Manager,Transfer Limit Exposure; Operational Risk Indicator,simple,How many accounts have daily transfer limits set to the default value?
12,Fraud Analyst; Risk Manager,Transfer Limit Exposure; Operational Risk Indicator,simple,What is the average transfer limit across all accounts?
12,Fraud Analyst; Risk Manager,Transfer Limit Exposure; Operational Risk Indicator,simple,How many accounts have no assigned transfer limit?
12,Fraud Analyst; Risk Manager,Transfer Limit Exposure; Operational Risk Indicator,simple,"What is the percentage of accounts with transfer limits exceeding $5,000?"
12,Fraud Analyst; Risk Manager,Transfer Limit Exposure; Operational Risk Indicator,simple,How many accounts have transfer limits above recommended operational risk thresholds?
12,Fraud Analyst; Risk Manager,Transfer Limit Exposure; Operational Risk Indicator,simple,Which account has the lowest non-zero transfer limit?
12,Fraud Analyst; Risk Manager,Transfer Limit Exposure; Operational Risk Indicator,simple,What is the sum of all transfer limits for active accounts?
12,Fraud Analyst; Risk Manager,Transfer Limit Exposure; Operational Risk Indicator,simple,How many accounts have requested a transfer limit increase in the past 30 days?
13,Fraud Analyst; Card Product Manager,ATM Utilization Rate; Limit Utilization Anomaly,simple,What is the total number of ATM withdrawals made in the last month?
13,Fraud Analyst; Card Product Manager,ATM Utilization Rate; Limit Utilization Anomaly,simple,What percentage of cardholders have utilized more than 80% of their credit limit?
13,Fraud Analyst; Card Product Manager,ATM Utilization Rate; Limit Utilization Anomaly,simple,How many accounts have conducted at least one ATM transaction?
13,Fraud Analyst; Card Product Manager,ATM Utilization Rate; Limit Utilization Anomaly,simple,What is the average ATM withdrawal amount across all accounts?
13,Fraud Analyst; Card Product Manager,ATM Utilization Rate; Limit Utilization Anomaly,simple,What is the highest ATM withdrawal amount recorded?
13,Fraud Analyst; Card Product Manager,ATM Utilization Rate; Limit Utilization Anomaly,simple,How many accounts have reached their ATM withdrawal limit?
13,Fraud Analyst; Card Product Manager,ATM Utilization Rate; Limit Utilization Anomaly,simple,What is the total sum of ATM transactions for all cardholders?
13,Fraud Analyst; Card Product Manager,ATM Utilization Rate; Limit Utilization Anomaly,simple,What percentage of total cardholders have not made any ATM transaction?
13,Fraud Analyst; Card Product Manager,ATM Utilization Rate; Limit Utilization Anomaly,simple,How many cards have transactions exceeding the assigned limit?
13,Fraud Analyst; Card Product Manager,ATM Utilization Rate; Limit Utilization Anomaly,simple,What is the count of accounts with ATM usage below 10% of their transaction limit?
14,Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,medium,What is the 90+ DPD Rate by loan product type over the last 12 months when joining PUBLIC.LOAN and PUBLIC.ACCOUNT?
14,Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,medium,How does the Non-Performing Loan % differ by customer segment (individual vs. business) in the most recent quarter using PUBLIC.MEMBER and PUBLIC.LOAN?
14,Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,medium,"For accounts with a delinquency status in PUBLIC.ACCOUNT, what is the distribution of delinquency ratio by branch code from PUBLIC.LOOKUP?"
14,Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,medium,Rank the top 10 branches with the highest number of 90+ DPD accounts during the last 6 months using PUBLIC.TRACKING joined with PUBLIC.ACCOUNT and PUBLIC.LOOKUP.
14,Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,medium,"What is the Non-Performing Loan % by origination channel (e.g., branch, online, agent) by segmenting PUBLIC.LOAN and PUBLIC.ACCOUNT?"
14,Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,medium,Compare the 90+ DPD Rate for credit cards vs. loans over the past year using PUBLIC.CARD and PUBLIC.LOAN joined with PUBLIC.ACCOUNT.
14,Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,medium,"What proportion of accounts with notes indicating 'contact unsuccessful' in PUBLIC.NOTE show as Non-Performing Loans in PUBLIC.ACCOUNT, grouped by region?"
14,Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,medium,"Analyze the delinquency ratio by customer age group, joining PUBLIC.ACCOUNT and PUBLIC.MEMBER for the last fiscal year."
14,Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,medium,List the top 5 customer segments by share of accounts transitioning into 90+ DPD in the previous quarter using PUBLIC.TRACKING and PUBLIC.MEMBER.
14,Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,medium,"What is the breakdown of Non-Performing Loan % for accounts that have received a collection comment in PUBLIC.COMMENT during the last 3 months, by loan portfolio?"
15,Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,medium,"What is the total deposit balance by city for the last quarter, ranked from highest to lowest?"
15,Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,medium,Which three branches have the highest concentration of deposits from a single client in the past 6 months?
15,Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,medium,How does the ratio of total deposits to number of accounts vary by region this year?
15,Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,medium,Which regions have more than 30% of their total deposit balance coming from the top 5 accounts?
15,Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,medium,What is the month-over-month change in deposit balances by branch over the past 12 months?
15,Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,medium,What percentage of deposit balances in each state comes from accounts holding more than $1 million?
15,Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,medium,"Compare total deposit balances by geography, segmented by personal and business accounts."
15,Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,medium,Identify the top 5 counties with deposit balances concentrated in fewer than 10 customers.
15,Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,medium,Which branches have seen the largest increase in deposit concentration risk year-over-year?
15,Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,medium,"What is the breakdown of total deposit balance by account type (savings, checking, etc.) for each zip code?"
16,Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),medium,"What is the percentage of accounts closed within 90 days, segmented by account type?"
16,Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),medium,"Among accounts closed ≤90 days, what is the breakdown by initial deposit amount range?"
16,Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),medium,Rank the top 10 branches by early closure rate (accounts closed ≤90 days) in the past 12 months.
16,Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),medium,What is the ratio of early closures (≤90 days) among members who received a loan within 30 days of account opening versus those who did not?
16,Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),medium,Compare early closure rates (≤90 days) by card type for accounts that issued a debit or credit card within 7 days of opening.
16,Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),medium,What percentage of early closed accounts (≤90 days) had at least one MEMBER NOTE recorded before closure compared to those without any notes?
16,Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),medium,"For accounts closed within 90 days, what is the average number of COMMENTS left in the account lifecycle compared to those remaining open past 90 days?"
16,Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),medium,Group accounts by whether they had any SHARE activity in the first 30 days and compare early closure rates (≤90 days) between these groups.
16,Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),medium,"Segment accounts by the presence or absence of TRACKING entries, and show the early closure rate (≤90 days) among each segment."
16,Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),medium,"For accounts opened during the last quarter, what proportion of early closures (≤90 days) had a LOAN product assigned during their lifecycle versus those that did not?"
17,Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,medium,"What is the distribution of credit card exposure by balance segment (e.g., <$5K, $5K-$10K, >$10K) compared to other loan types within the portfolio?"
17,Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,medium,How has the credit card exposure by balance changed quarter-over-quarter for the last 12 months?
17,Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,medium,"What percentage of total portfolio balance is held in credit card accounts for each customer segment (e.g., by age group or income level)?"
17,Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,medium,Which branches have the highest proportion of credit card exposure by balance compared to other loan products?
17,Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,medium,"What is the ratio of active credit card account balances to total active account balances, grouped by account type?"
17,Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,medium,How does credit card exposure by balance compare between new and existing members onboarded in the last 6 months?
17,Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,medium,Which three product types (other than credit cards) have the highest correlation with high credit card exposure by balance?
17,Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,medium,What is the year-over-year percentage change in credit card exposure by balance compared to auto and home loans?
17,Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,medium,"Among accounts with more than two products, what is the average credit card exposure by balance as a percentage of their total portfolio?"
17,Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,medium,"For members with at least one comment in the past 90 days, what percentage of their total exposure is in credit cards versus other loan products?"
18,Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,medium,"What is the ratio of dormant accounts by account type (e.g., checking, savings) over the past 180 days?"
18,Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,medium,"Among all accounts, what percentage were inactive for each month in the last year, segmented by customer region?"
18,Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,medium,Rank the top 10 branches by dormant account rate over the last quarter.
18,Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,medium,Compare the inactivity ratio between accounts with a credit card and those without over the past 6 months.
18,Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,medium,What is the breakdown of dormant account rates by customer age group in the current year?
18,Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,medium,"For members with active loans, what percentage of their associated accounts became inactive over the previous 90 days?"
18,Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,medium,Calculate the inactivity ratio for accounts opened within the last year versus those opened earlier.
18,Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,medium,"For accounts that have received a comment or note in the last 60 days, what percentage are still classified as dormant?"
18,Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,medium,Compare the dormant account rate between individual and joint accounts during the past 12 months.
18,Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,medium,"Segment and rank account inactivity ratios by product type (e.g., loan, card, share) over the last quarter."
19,Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy),medium,"What is the median account tenure by product type (e.g., loan, card, deposit)?"
19,Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy),medium,Which branches have the highest average member lifetime value in the past 3 years?
