persona,kpi,difficulty,synthetic_questions
Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,medium,What is the ratio of credit card balances to total account balances for the top 5 account types?
Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,medium,What percentage of accounts have a credit card balance and have had no activity in the last 30 days?
Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,hard,"What is the trend in the number of dormant accounts over the past 24 months segmented by account age, and what percentage of these accounts have zero transactions during this period?"
Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,hard,"Which account types show a higher concentration of accounts that have been dormant for more than 2 years, and what is their respective average balance compared to active accounts?"
Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,hard,"How many dormant accounts have initiated any interaction (such as comments, shares, or loans) in the last 6 months, and what does this indicate about potential reactivation strategies?"
Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,hard,"What percentage of dormant accounts have additional products (e.g., loans, cards) that are also inactive, and how does this vary by product category?"
Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,hard,"What is the average time to reactivation for accounts that were previously classified as dormant, and what behaviors were observed prior to their reactivation?"
Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,hard,How do monthly transaction volumes of active accounts correlate with the subsequent rates of dormancy for accounts opened within the same time frame?
Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,hard,"Which demographic segments (age, location, account type) display the highest rates of account dormancy, and what actionable insights can be drawn to address this risk?"
Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,hard,"What changes in customer behavior (such as lack of engagement in comments or tracking) precede the dormancy classification, and how can this inform predictive modeling efforts?"
Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,hard,"What is the ratio of dormant accounts to total accounts for each product line, and how does this indicate potential product-level risk?"
Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,hard,"How does the inactivity ratio for accounts with high transaction limits compare to those with low limits, and what does this imply for risk management strategies?"
Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy),hard,"What percentage of accounts with loan products show a declining balance trend over the last 12 months, and how does this correlate with early account closure rates?"
Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy),hard,Identify accounts with high transaction frequency but low average balance; what percentage of these accounts have seen a decrease in tenure over the past year?
Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy),hard,"Analyze the retention rates of members by product line; what products have the highest churn, and what early-warning signs are evident in member engagement metrics?"
Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy),hard,"Segregate members by tenure intervals (0-1 year, 1-3 years, 3-5 years, 5+ years) and assess the average lifetime value within each segment to identify high-risk groups."
Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy),hard,Evaluate the concentration risk by analyzing the average tenure of accounts in the top 10% of total balances; what early signals are present indicating potential drop-offs?
Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy),hard,"What percentage of accounts that have recently accessed credit services also show declining engagement with savings products, and what does this signal for overall account health?"
Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy),hard,Determine the correlation between member note frequency and tenure; how many accounts with less than 5 notes have closed within 2 years?
Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy),hard,"For members with cross-product usage, analyze which combinations exhibit the highest average account tenure and what trends may indicate future risk of attrition."
Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy),hard,"How does the average account tenure of members engaging with digital services compare with those utilizing only traditional services, particularly over the last 24 months?"
Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy),hard,"What are the trends in member feedback score changes relative to tenure length, specifically noting any significant negative shifts prior to account closures?"
Member Analytics Lead; Product Manager,Active Account Tenure; Retention Duration,hard,What percentage of accounts that utilized a loan product in the last 12 months show a decrease in transaction frequency over the past 6 months?
Member Analytics Lead; Product Manager,Active Account Tenure; Retention Duration,hard,Identify the top 10% of accounts by tenure and analyze their monthly activity across different product lines to determine early warning signs of potential dormancy.
Member Analytics Lead; Product Manager,Active Account Tenure; Retention Duration,hard,"How does the average tenure of accounts with a recent account closure compare to active accounts, segmented by product type?"
Member Analytics Lead; Product Manager,Active Account Tenure; Retention Duration,hard,What percentage of accounts with high credit utilization (above 70%) exhibit a decline in deposit activity over the last quarter?
Member Analytics Lead; Product Manager,Active Account Tenure; Retention Duration,hard,"Analyze the trend of account activity for members who have not engaged with any products in the last 3 months, segmented by tenure and product usage."
Member Analytics Lead; Product Manager,Active Account Tenure; Retention Duration,hard,Which segments of long-tenured accounts (5 years+) show an increased risk of closure based on recent activity patterns across loans and cards?
Member Analytics Lead; Product Manager,Active Account Tenure; Retention Duration,hard,"Evaluate the correlation between inactivity in shared accounts and overall account tenure, and identify segments most at risk."
Member Analytics Lead; Product Manager,Active Account Tenure; Retention Duration,hard,"What is the average retention duration for accounts that have interacted with customer service versus those that have not, broken down by product category?"
Member Analytics Lead; Product Manager,Active Account Tenure; Retention Duration,hard,Develop a risk profile for accounts that have multiple product holdings but display erratic behavior in transaction patterns over the last 6 months.
Member Analytics Lead; Product Manager,Active Account Tenure; Retention Duration,hard,"How does the closure rate of accounts with low engagement in multiple channels (comments, notes, shares) accrue over the last two years compared to more engaged accounts?"
Product Manager; Risk Manager,Monthly Closure Rate; Product Attrition Rate,simple,What percentage of accounts have a negative balance?
Product Manager; Risk Manager,Monthly Closure Rate; Product Attrition Rate,simple,How many accounts currently have a loan open?
Product Manager; Risk Manager,Monthly Closure Rate; Product Attrition Rate,simple,What is the total number of accounts with active credit cards?
Product Manager; Risk Manager,Monthly Closure Rate; Product Attrition Rate,simple,What percentage of accounts have had no transactions in the last month?
Product Manager; Risk Manager,Monthly Closure Rate; Product Attrition Rate,simple,How many accounts are currently flagged for suspicious activity?
Product Manager; Risk Manager,Monthly Closure Rate; Product Attrition Rate,simple,What is the total number of accounts with missed payments in the last month?
Product Manager; Risk Manager,Monthly Closure Rate; Product Attrition Rate,simple,"How many accounts have a loan amount greater than $10,000?"
Product Manager; Risk Manager,Monthly Closure Rate; Product Attrition Rate,simple,What percentage of accounts have a credit score below 600?
Product Manager; Risk Manager,Monthly Closure Rate; Product Attrition Rate,simple,How many members are currently enrolled in overdraft protection?
Product Manager; Risk Manager,Monthly Closure Rate; Product Attrition Rate,simple,What is the average balance of accounts with loans?
Member Analytics Lead; CRO,Long-Tenure Account %; Dormant vs Active Ratio,simple,What percentage of active accounts have a loan?
Member Analytics Lead; CRO,Long-Tenure Account %; Dormant vs Active Ratio,simple,What percentage of accounts have made a comment in the last year?
Member Analytics Lead; CRO,Long-Tenure Account %; Dormant vs Active Ratio,simple,How many accounts have not logged any activity in the last 6 months?
Member Analytics Lead; CRO,Long-Tenure Account %; Dormant vs Active Ratio,simple,What percentage of accounts have a credit card?
Member Analytics Lead; CRO,Long-Tenure Account %; Dormant vs Active Ratio,simple,What percentage of accounts have shared information with other accounts?
Member Analytics Lead; CRO,Long-Tenure Account %; Dormant vs Active Ratio,simple,"What is the count of accounts with a loan balance above $10,000?"
Member Analytics Lead; CRO,Long-Tenure Account %; Dormant vs Active Ratio,simple,What percentage of accounts are classified as dormant?
Member Analytics Lead; CRO,Long-Tenure Account %; Dormant vs Active Ratio,simple,How many accounts have received a note from a member in the last year?
Member Analytics Lead; CRO,Long-Tenure Account %; Dormant vs Active Ratio,simple,What percentage of accounts have a tracking record?
Member Analytics Lead; CRO,Long-Tenure Account %; Dormant vs Active Ratio,simple,How many accounts have more than one active loan?
Executive Leadership; CRO,Product Mix %; Portfolio Allocation,hard,"What is the month-over-month trend in the product mix across different account segments, and how does this compare to historical performance over the past 24 months?"
Executive Leadership; CRO,Product Mix %; Portfolio Allocation,hard,"Which product categories exhibit a rise in delinquency rates, and how does this correlate with specific member demographics or account types?"
Executive Leadership; CRO,Product Mix %; Portfolio Allocation,hard,"What is the concentration risk associated with the top 10% of accounts by loan volume, and how has this risk fluctuated over the last year?"
Executive Leadership; CRO,Product Mix %; Portfolio Allocation,hard,"How do product-level attrition rates vary across different member segments, and what early-warning signals can we identify for potential mass withdrawals?"
Executive Leadership; CRO,Product Mix %; Portfolio Allocation,hard,"What percentage of accounts with high transaction volumes are concentrated in specific product lines, and how does this impact our overall liquidity stress tests?"
Executive Leadership; CRO,Product Mix %; Portfolio Allocation,hard,"Which loan products have the highest loss ratio over time, and what behavioral factors are contributing to this trend among borrowers?"
Executive Leadership; CRO,Product Mix %; Portfolio Allocation,hard,"How does the portfolio allocation across different risk categories change during economic downturns, and what adjustments might we need to consider for early intervention?"
Executive Leadership; CRO,Product Mix %; Portfolio Allocation,hard,"In analyzing account age, what correlation exists between product mix shifts and member engagement levels over the last five years?"
Executive Leadership; CRO,Product Mix %; Portfolio Allocation,hard,How does member usage of credit cards with promotional interest rates impact the product mix and overall risk profile of our portfolio?
Executive Leadership; CRO,Product Mix %; Portfolio Allocation,hard,"What are the behavioral trends for accounts that have switched products in the last year, and how do these patterns indicate potential risk in continued portfolio allocation?"
CEO; COO; Board; CRO,"Composite Health Score (Capital, Asset Quality, Earnings, Liquidity, Growth)",hard,"What percentage of accounts with high utilization (above 80%) are also over 30 days delinquent, segmented by loan product?"
CEO; COO; Board; CRO,"Composite Health Score (Capital, Asset Quality, Earnings, Liquidity, Growth)",hard,"How has the average loan-to-value ratio changed over the last 12 months by property type, and what trends can we identify for potential concentration risk?"
CEO; COO; Board; CRO,"Composite Health Score (Capital, Asset Quality, Earnings, Liquidity, Growth)",hard,"What is the trend of accounts with a payment-to-income ratio above 40% over the last two years, and how does it correlate with default rates?"
CEO; COO; Board; CRO,"Composite Health Score (Capital, Asset Quality, Earnings, Liquidity, Growth)",hard,"Which loan products have seen a disproportionate increase in the ratio of high-risk borrowers (based on credit score) in the last three quarters, and what actions can be taken?"
CEO; COO; Board; CRO,"Composite Health Score (Capital, Asset Quality, Earnings, Liquidity, Growth)",hard,"What are the early-warning signals present in accounts that have made multiple late payments in the last 6 months, and how can they be prioritized for intervention?"
CEO; COO; Board; CRO,"Composite Health Score (Capital, Asset Quality, Earnings, Liquidity, Growth)",hard,How does the distribution of employed versus self-employed members with loan products compare in terms of default rates over the last year?
CEO; COO; Board; CRO,"Composite Health Score (Capital, Asset Quality, Earnings, Liquidity, Growth)",hard,"What percentage of our highest yielding accounts are experiencing significant changes in account activity, indicating potential behavioral risk?"
CEO; COO; Board; CRO,"Composite Health Score (Capital, Asset Quality, Earnings, Liquidity, Growth)",hard,Analyze the last three years of member feedback on loan products; what recurring themes indicate underlying issues that could affect asset quality?
CEO; COO; Board; CRO,"Composite Health Score (Capital, Asset Quality, Earnings, Liquidity, Growth)",hard,"What is the delinquency rate for accounts with multiple loan products compared to single product accounts, broken down by income bracket?"
CEO; COO; Board; CRO,"Composite Health Score (Capital, Asset Quality, Earnings, Liquidity, Growth)",hard,"How has growth in new accounts correlated with changes in the credit quality of originated loans over the past year, and what factors might influence future performance?"
Risk Manager; Finance Manager,High-Balance Exposure; Concentration Risk,simple,"What percentage of accounts have a balance greater than $100,000?"
Risk Manager; Finance Manager,High-Balance Exposure; Concentration Risk,simple,How many accounts have a concentration risk above 20% of total balances?
Risk Manager; Finance Manager,High-Balance Exposure; Concentration Risk,simple,What is the average balance of the top 10 high-balance accounts?
Risk Manager; Finance Manager,High-Balance Exposure; Concentration Risk,simple,What percentage of total assets are held in the top 5 highest balance accounts?
Risk Manager; Finance Manager,High-Balance Exposure; Concentration Risk,simple,How many accounts are concentrated in a single industry sector?
Risk Manager; Finance Manager,High-Balance Exposure; Concentration Risk,simple,"What is the total number of accounts with balances exceeding $500,000?"
Risk Manager; Finance Manager,High-Balance Exposure; Concentration Risk,simple,What percentage of total liabilities do the top 10 accounts represent?
Risk Manager; Finance Manager,High-Balance Exposure; Concentration Risk,simple,How many accounts have multiple credit products linked to them?
Risk Manager; Finance Manager,High-Balance Exposure; Concentration Risk,simple,"What is the proportion of accounts with balances over $250,000 relative to total accounts?"
Risk Manager; Finance Manager,High-Balance Exposure; Concentration Risk,simple,How many accounts are flagged for risk concentration based on balance thresholds?
Fraud Analyst; Risk Manager,Transfer Limit Exposure; Operational Risk Indicator,simple,What percentage of accounts have transfer limits exceeding the average transfer limit?
Fraud Analyst; Risk Manager,Transfer Limit Exposure; Operational Risk Indicator,simple,How many accounts have transfer limits above a specified threshold?
Fraud Analyst; Risk Manager,Transfer Limit Exposure; Operational Risk Indicator,simple,What is the total sum of transfer limits across all accounts?
Fraud Analyst; Risk Manager,Transfer Limit Exposure; Operational Risk Indicator,simple,What percentage of accounts have no transfer limit set?
Fraud Analyst; Risk Manager,Transfer Limit Exposure; Operational Risk Indicator,simple,Which account has the highest transfer limit?
Fraud Analyst; Risk Manager,Transfer Limit Exposure; Operational Risk Indicator,simple,What is the average transfer limit across all accounts?
Fraud Analyst; Risk Manager,Transfer Limit Exposure; Operational Risk Indicator,simple,How many accounts have multiple transfer limits associated with them?
Fraud Analyst; Risk Manager,Transfer Limit Exposure; Operational Risk Indicator,simple,What is the count of accounts with transfer limits that are inactive?
Fraud Analyst; Risk Manager,Transfer Limit Exposure; Operational Risk Indicator,simple,What percentage of accounts are utilizing their full transfer limit?
Fraud Analyst; Risk Manager,Transfer Limit Exposure; Operational Risk Indicator,simple,What is the count of accounts with transfer limits increased in the last month?
Fraud Analyst; Card Product Manager,ATM Utilization Rate; Limit Utilization Anomaly,simple,What percentage of accounts have an ATM utilization rate above 80%?
Fraud Analyst; Card Product Manager,ATM Utilization Rate; Limit Utilization Anomaly,simple,What percentage of accounts have reached their ATM withdrawal limits?
Fraud Analyst; Card Product Manager,ATM Utilization Rate; Limit Utilization Anomaly,simple,What is the total number of accounts that have made ATM withdrawals in the last month?
Fraud Analyst; Card Product Manager,ATM Utilization Rate; Limit Utilization Anomaly,simple,What percentage of accounts have a limit utilization rate greater than 100%?
Fraud Analyst; Card Product Manager,ATM Utilization Rate; Limit Utilization Anomaly,simple,How many accounts have ATM transactions exceeding $500 in a single day?
Fraud Analyst; Card Product Manager,ATM Utilization Rate; Limit Utilization Anomaly,simple,What percentage of accounts have not utilized their ATM card in the last 30 days?
Fraud Analyst; Card Product Manager,ATM Utilization Rate; Limit Utilization Anomaly,simple,What is the average ATM withdrawal amount across all accounts?
Fraud Analyst; Card Product Manager,ATM Utilization Rate; Limit Utilization Anomaly,simple,How many accounts have an overdraft on their ATM limit?
Fraud Analyst; Card Product Manager,ATM Utilization Rate; Limit Utilization Anomaly,simple,What percentage of ATM users have a limit utilization anomaly?
Fraud Analyst; Card Product Manager,ATM Utilization Rate; Limit Utilization Anomaly,simple,What is the total number of accounts with a limit utilization rate below 50%?
